Country,Total_Cases
Afghanistan,"208,545"
Albania,"334,167"
Algeria,"271,378"
Andorra,"47,839"
Angola,"105,184"
Anguilla,"3,904"
Antigua and Barbuda,"9,106"
Argentina,"10,037,135"
Armenia,"446,008"
Aruba,"43,993"
Australia,"11,295,446"
Austria,"5,780,229"
Azerbaijan,"827,944"
Bahamas,"37,491"
Bahrain,"700,452"
Bangladesh,"2,037,556"
Barbados,"106,157"
Belarus,"994,037"
Belgium,"4,691,499"
Belize,"70,660"
Benin,"27,989"
Bermuda,"18,766"
Bhutan,"62,605"
Bolivia,"1,187,986"
Bosnia and Herzegovina,"401,384"
Botswana,"329,227"
Brazil,"36,824,580"
British Virgin Islands,"7,305"
Brunei,"275,220"
Bulgaria,"1,295,426"
Burkina Faso,"22,025"
Burundi,"53,492"
Cabo Verde,"63,229"
Cambodia,"138,693"
Cameroon,"123,993"
Canada,"4,550,256"
CAR,"15,368"
Caribbean Netherlands,"11,661"
Cayman Islands,"31,472"
Chad,"7,652"
Channel Islands,"101,116"
Chile,"5,118,981"
China,"503,302"
Colombia,"6,356,309"
Comoros,"8,992"
Congo,"25,375"
Cook Islands,"7,011"
Costa Rica,"1,186,176"
Croatia,"1,267,580"
Cuba,"1,112,438"
Curaçao,"45,986"
Cyprus,"642,663"
Czechia,"4,590,019"
Denmark,"3,173,247"
Djibouti,"15,690"
Dominica,"15,760"
Dominican Republic,"660,095"
DPRK,"4,772,813"
DRC,"95,514"
Ecuador,"1,051,239"
Egypt,"515,645"
El Salvador,"201,785"
Equatorial Guinea,"17,190"
Eritrea,"10,189"
Estonia,"613,891"
Eswatini,"74,133"
Ethiopia,"499,531"
Faeroe Islands,"34,658"
Falkland Islands,"1,930"
Fiji,"68,820"
Finland,"1,458,619"
France,"39,524,311"
French Guiana,"98,028"
French Polynesia,"77,957"
Gabon,"48,981"
Gambia,"12,586"
Georgia,"1,814,180"
Germany,"37,779,833"
Ghana,"171,112"
Gibraltar,"20,399"
Greece,"5,708,301"
Greenland,"11,971"
Grenada,"19,680"
Guadeloupe,"201,394"
Guatemala,"1,227,853"
Guinea,"38,240"
Guinea-Bissau,"8,947"
Guyana,"72,950"
Haiti,"34,076"
Honduras,"470,757"
Hong Kong,"2,877,280"
Hungary,"2,192,447"
Iceland,"208,688"
India,"44,682,784"
Indonesia,"6,730,289"
Iran,"7,564,350"
Iraq,"2,465,545"
Ireland,"1,700,253"
Isle of Man,"38,008"
Israel,"4,786,189"
Italy,"25,453,789"
Ivory Coast,"87,982"
